"id","part_number","name","price","currency_id"
142,43974,"Nokia 5500 - защитное стекло дисплея с клавиатурой набора номера (original), цвет: Light Grey",350,1
143,37906,"Nokia 5730 XpressMusic - защитное стекло дисплея (original), цвет: Cairo Black",250,1
144,33205,"Nokia 6085 - защитное стекло внутреннего дисплея (original), цвет: Silver",50,1
145,28688,"Nokia 6101 - защитное стекло внутреннего дисплея с логотипом ""Nokia"" и ""Vodofone"" (original)",50,1
146,31951,"Nokia 6103 - защитное стекло внутреннего дисплея (original), цвет: Red",50,1
147,34331,"Nokia 6120 Classic - защитное стекло дисплея (original), цвет: Black",200,1
148,43965,"Nokia 6120 Classic - защитное стекло дисплея (original), цвет: White",200,1
149,37166,"Nokia 6220 Classic - защитное стекло дисплея в сборе с передней панелью (original), цвет Black",500,1
150,36876,"Nokia 6500 Classic - защитное стекло видеокамеры (original) (F)",100,1
151,35351,"Nokia 6600 Fold - защитное стекло внутреннего дисплея (original), цвет: Black",50,1
152,35352,"Nokia 6600 Fold - защитное стекло внутреннего дисплея (original), цвет: Purple",50,1
153,40626,"Nokia 7020 - защитное стекло внутреннего дисплея (original), цвет: Hot Pink",300,1
154,36116,"Nokia 7510 Supernova - защитное стекло внутреннего дисплея (original)",50,1
155,35331,"Nokia 8600 Luna - защитное стекло клавиатуры в оправе (original), цвет Blue",1350,1
156,34078,"Nokia 8600 Luna - защитное стекло модуля видеокамеры (original), цвет: Black",50,1
157,34598,"Nokia 8800 Arte, Sapphire Arte - защитное стекло дисплея в оправе с динамиком (original), Black",1750,1
158,32784,"Nokia 8800 Sirocco - защитное стекло дисплея в оправе (original), цвет: Black (F)",2850,1
159,32778,"Nokia 8800 Sirocco - защитное стекло дисплея в оправе (original), цвет: Silver",1200,1
160,43874,"Nokia E51 - защитное стекло видеокамеры (original)",150,1
161,36823,"Nokia E75 - защитное стекло дисплея (original), цвет: Ruby",250,1
162,36822,"Nokia E75 - защитное стекло дисплея (original), цвет: Zodium",200,1
163,35118,"Nokia E90 - защитное стекло дисплея (original), цвет: Black",200,1
164,35119,"Nokia E90 - защитное стекло дисплея (original), цвет: Coffee",150,1
165,34649,"Nokia N76 - защитное стекло внешнего дисплея с внешней панелью (original), цвет: Black",850,1
166,33973,"Nokia N76 - защитное стекло внешнего дисплея с внешней панелью (original), цвет: Red",850,1
167,35725,"Nokia N76 - защитное стекло внутреннего дисплея с панелью верхнего флипа (original), цвет: Black",1500,1
168,35726,"Nokia N76 - защитное стекло дисплея с внутренней панелью верхнего флипа (original), цвет: Red",1500,1
169,35633,"Nokia N78 - защитное стекло дисплея с установочной рамкой (original), цвет:Black",450,1
170,43873,"Nokia N81 - защитное стекло дисплея (original), цвет: Black",250,1
171,34758,"Nokia N81 8Гб - защитное стекло дисплея (original), цвет: Black",250,1
172,35276,"Nokia N82 - защитное стекло дисплея с установочной рамкой (original), цвет: Silver",250,1
173,32705,"Nokia N90 - защитное стекло внутреннего дисплея (original), цвет:",50,1
174,35546,"Nokia N96 - защитное стекло дисплея (original)",300,1
175,40613,"Nokia 2220 Slide - шлейф межплатный с разъемами и подклавиатурной платой (original)",400,1
176,27905,"Nokia 2650, 2652 - коаксиальный кабель (original)",50,1
177,27051,"Nokia 2650, 2652 - шлейф межплатный с кроваткой LCD и считывателем SIM-карты (original)",150,1
178,35831,"Nokia 2680 Slide - шлейф межплатный с разъемами и подклавиатурной платой (original)",100,1
179,38909,"Nokia 2720 Fold - шлейф межплатный в сборе с панелями корпуса (original) (X,F)",850,1
180,33997,"Nokia 2760 - шлейф межплатный с разъемами (original)",65,1
181,35075,"Nokia 3600 Slide - шлейф межплатный с разъемами и подклавиатурной платой (original)",400,1
182,43728,"Nokia 3610 Fold - шлейф межплатный в сборе (original), цвет: Silver",200,1
183,39861,"Nokia 3710 Fold - шлейф дисплея с разъемами и вибромотором (original)",250,1
184,32736,"Nokia 5200, 5300 - шлейф межплатный с разъемами (original)",416,1
185,38586,"Nokia 5228, 5230 XpressMusic, 5235 - шлейф с датчиком приближения (original)",150,1
186,43784,"Nokia 5250 - шлейф с датчиком приближения (original)",400,1
187,42292,"Nokia 5330 - шлейф межплатный в сборе с механизмом смещения (original)",1350,1
188,32780,"Nokia 5500 - шлейф с боковыми кнопками регулировки громкости звука (original)",150,1
189,38684,"Nokia 5530 XpressMusic - шлейф с боковыми кнопками (original)",250,1
190,34320,"Nokia 5610 - шлейф межплатный в сборе с подклавиатурной платой и видеокамерой (original) (F)",1100,1
191,33495,"Nokia 5700 - шлейф поворотного механизма с микровыключателями (original)",250,1
192,38290,"Nokia 5730 - шлейф межплатный с разъемами в сборе с подклавиатурной платой и видеокамерой (original)",1500,1
193,38291,"Nokia 5730 XpressMusic - шлейф соединительный с разъемами (original)",250,1
194,35807,"Nokia 5800 XpresssMusic, 5800 Navigator - шлейф динамика с фронтальной камерой (original)",150,1
195,33388,"Nokia 6085 - шлейф межплатный с разъемами (original)",250,1
196,34899,"Nokia 6103 - межплатный соединительный кабель в сборе с вунтренними панелями (original)",200,1
197,33723,"Nokia 6110 Navigator - шлейф межплатный с разъемами (original)",300,1
198,29868,"Nokia 6111 - шлейф межплатный с разъемами (original)",150,1
199,33724,"Nokia 6131 - шлейф межплатный с разъемами (original)",400,1
200,28679,"Nokia 6170, 7270 - коаксиальный кабель (original)",50,1
201,27052,"Nokia 6170, 7270 - шлейф межплатный с разъёмами (original) (Н.П.)",120,1
202,37344,"Nokia 6210 Navigator - шлейф межплатный с подклавиатурной платой и видеокамерой (original) (X,F)",450,1
203,34154,"Nokia 6267 - межплатный соединительный кабель (original) (X)",250,1
204,34988,"Nokia 6267 - шлейф видеокамеры со считывателем (original)",50,1
205,32781,"Nokia 6270 - шлейф с боковыми кнопками регулировки громкости звука (original)",100,1
206,44026,"Nokia 6500 Classic - коаксиальный кабель в сборе с внутренней антенной (original)",100,1
207,34446,"Nokia 6500 Classic - шлейф видеокамеры в сборе с камерой и micro USB разъемом (original)",750,1
208,34321,"Nokia 6500 Slide - шлейф межплатный с разъемами и видеокамерой (original) (X,F)",1050,1
209,34386,"Nokia 6600 Fold - шлейф межплатный с разъемом и вибромотором (original)",700,1
210,35817,"Nokia 6600 Slide - шлейф межплатный в сборе с механизмом смещения (original) (F)",3150,1
211,35816,"Nokia 6600 Slide, 6600i Slide - шлейф межплатный с разъемами, подклавиатурной платой (original)",1250,1
212,39993,"Nokia 6650 Fold - межплатный соединительный кабель в сборе (original)",900,1
213,45276,"Nokia 6700 Classic - шлейф видеокамеры в сборе (original)",750,1
214,41139,"Nokia 6700 Slide - шлейф межплатный с разъемами и подклавиатурной платой (original)",850,1
215,38381,"Nokia 6710 Navigator - шлейф межплатный в сборе с подклавиатурной платой и видеокамерой (original)",1200,1
216,38382,"Nokia 6710 Navigator - шлейф соединительный (original)",150,1
217,39819,"Nokia 6720 Classic - шлейф с индикатором освещенности (original)",150,1
218,40576,"Nokia 6760 Slide - шлейф межплатный в сборе со шлейфом клавиатуры выбора функций меню (original)",950,1
219,40624,"Nokia 7020 - шлейф межплатный с разъемами (original)",300,1
220,35329,"Nokia 7070 Prism - шлейф межплатный с разъемами (original)",250,1
221,41668,"Nokia 7230 - шлейф межплатный в сборе со средней частью, механизмом смещения (original)",700,1
222,35544,"Nokia 7610 Supernova - шлейф межплатный в сборе с подклавиатурной платой (original)",500,1
223,35615,"Nokia 7610 Supernova - шлейф с кнопкам регул громкости, включения on, off и аудио разъемом (original)",300,1
224,44027,"Nokia 7900 Prism - коаксиальный кабель в сборе с внутренней антенной (original)",400,1
225,45822,"Nokia 800 Lumia - шлейф с датчиком приближения (original)",,1
226,34322,"Nokia 8600 Luna - шлейф межплатный в сборе с подклавиатурной платой (original) (F)",950,1
227,29872,"Nokia 9300i - коаксиальный кабель (original)",100,1
228,45620,"Nokia C2-03, C2-06 Touch and Type - шлейф межплатный с разъемами и подклавиатурной платой (original)",450,1
229,45948,"Nokia C2-05 - шлейф межплатный с разъемами и подклавиатурной платой (original)",,1
230,43213,"Nokia C6-00 - шлейф межплатный в сборе с механизмом смещения (original)",1700,1
